interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
360.00;400.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.52;14.22;0.37;1.55;5;5;7;62.00;0.00
360.00;400.00;164.00;id_-E3_2;98.00;620.15;96;92.00;40.00;27.54;4;1.68;5;41.00;24.50;15.50;2.40;1.27;4.17;15.10;3.77;4;2;7;151.00;2.00
400.00;440.00;1.00;id_E0_0;1.00;0.00;0;1.00;1.00;0.00;0;3.25;9;1.00;1.00;0.00;0.00;2.50;12.75;1.66;7.00;7;5;12;279.67;1.00
400.00;440.00;122.00;id_E0_1;103.00;665.26;102;56.00;40.00;20.16;3;2.52;7;40.67;34.33;16.63;2.55;2.07;7.72;9.29;5.75;5;6;12;230.00;1.00
400.00;440.00;25.00;id_E0_2;25.00;122.50;23;21.00;21.00;12.50;2;1.08;3;12.50;12.50;3.06;0.57;0.66;7.88;10.88;1.82;2;1;3;73.00;2.00
400.00;440.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.22;7;0.00;0.00;0.00;0.00;2.42;13.37;1.78;5.33;3;4;9;211.87;0.00
400.00;440.00;243.00;id_-E1_1;137.00;912.64;135;105.00;40.00;27.51;4;3.68;8;48.60;27.40;22.82;3.38;2.98;6.41;16.19;6.47;5;2;9;259.00;2.00
400.00;440.00;405.00;id_-E1_2;26.00;161.89;24;122.00;8.00;35.00;5;3.68;8;57.86;3.71;4.05;0.60;1.03;7.34;4.66;2.50;2;9;10;95.54;2.00
400.00;440.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;1.86;13.50;1.13;3.73;4;6;9;148.49;0.00
400.00;440.00;58.00;id_-E2_1;56.00;312.63;55;42.00;40.00;12.57;2;2.53;5;29.00;28.00;7.82;1.38;1.57;6.72;7.07;3.10;6;4;9;124.00;1.00
400.00;440.00;11.00;id_-E2_2;11.00;50.00;10;11.00;11.00;5.00;1;1.01;2;11.00;11.00;1.25;0.25;0.49;8.28;8.09;0.97;2;1;2;39.00;1.00
400.00;440.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.69;12.75;0.98;2.08;2;1;4;82.29;0.00
400.00;440.00;30.00;id_-E3_1;30.00;145.00;29;30.00;30.00;5.00;1;0.67;2;30.00;30.00;3.62;0.72;0.43;5.37;10.67;1.27;1;2;3;51.00;1.00
400.00;440.00;175.00;id_-E3_2;11.00;70.03;11;93.00;5.00;27.52;4;1.68;5;43.75;2.75;1.75;0.28;0.43;8.39;4.13;1.43;1;6;6;55.23;0.00
440.00;480.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.30;12.27;1.38;6.42;6;6;13;256.43;0.00
440.00;480.00;280.00;id_E0_1;158.00;1070.41;156;96.00;40.00;35.04;5;3.25;9;56.00;31.60;26.76;3.90;2.63;6.27;12.24;7.30;8;6;14;292.00;2.00
