interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
760.00;800.00;339.00;id_-E1_1;18.00;122.03;18;119.00;6.00;35.00;5;2.76;6;67.80;3.60;3.05;0.45;1.05;8.62;4.27;2.48;3;6;9;95.96;0.00
760.00;800.00;0.00;id_-E1_2;0.00;0.00;0;0.00;0.00;0.00;0;0.46;1;0.00;0.00;0.00;0.00;0.07;7.16;2.92;0.15;1;1;1;6.00;0.00
760.00;800.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.44;5;0.00;0.00;0.00;0.00;1.75;12.51;1.63;3.48;3;2;6;138.64;0.00
760.00;800.00;224.00;id_-E2_1;115.00;755.08;114;113.00;40.00;20.00;3;2.53;5;74.67;38.33;18.88;2.85;1.81;2.16;20.21;3.58;3;2;6;143.00;1.00
760.00;800.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.51;1;0.00;0.00;0.00;0.00;0.08;7.13;3.11;0.15;1;1;1;6.00;0.00
760.00;800.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.71;13.20;0.97;2.10;2;2;4;84.00;0.00
760.00;800.00;72.00;id_-E3_1;1.00;5.00;1;72.00;1.00;5.00;1;0.67;2;72.00;1.00;0.12;0.03;0.17;10.85;0.74;0.55;3;4;5;21.19;0.00
760.00;800.00;58.00;id_-E3_2;53.00;290.02;52;45.00;40.00;12.51;2;1.01;3;29.00;26.50;7.25;1.30;0.69;4.15;19.57;2.05;2;1;3;82.00;1.00
800.00;840.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.52;7;0.00;0.00;0.00;0.00;2.19;12.46;1.57;6.12;6;6;11;244.86;0.00
800.00;840.00;59.00;id_E0_1;1.00;5.00;1;59.00;1.00;5.00;1;1.08;3;59.00;1.00;0.12;0.03;0.48;12.07;0.63;1.35;5;7;8;53.71;0.00
800.00;840.00;297.00;id_E0_2;160.00;1092.63;159;103.00;40.00;27.51;4;2.52;7;74.25;40.00;27.32;3.98;1.76;1.86;20.85;4.88;4;1;8;195.00;1.00
800.00;840.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.37;12.19;2.07;5.20;4;4;8;207.10;0.00
800.00;840.00;35.00;id_-E1_1;35.00;180.01;33;28.00;28.00;12.51;2;2.76;6;17.50;17.50;4.50;0.82;1.67;9.88;6.00;3.62;5;2;8;145.00;2.00
800.00;840.00;0.00;id_-E1_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
800.00;840.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;4;0.00;0.00;0.00;0.00;1.96;12.86;1.78;3.90;2;2;6;156.00;0.00
800.00;840.00;232.00;id_-E2_1;8.00;51.36;8;114.00;4.00;20.00;3;2.03;4;77.33;2.67;1.28;0.20;0.96;10.78;2.78;2.00;3;6;7;78.70;0.00
800.00;840.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.51;1;0.00;0.00;0.00;0.00;0.06;14.01;0.27;0.12;1;0;1;5.00;0.00
800.00;840.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.60;12.02;1.24;1.77;3;2;5;71.00;0.00
800.00;840.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;0.67;2;0.00;0.00;0.00;0.00;0.33;13.63;0.44;0.97;3;4;4;39.00;0.00
800.00;840.00;142.00;id_-E3_2;84.00;522.56;83;85.00;40.00;20.01;3;1.35;4;47.33;28.00;13.06;2.08;1.07;3.98;18.05;3.17;3;1;5;127.00;1.00
840.00;880.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.01;12.16;1.54;5.60;6;4;11;223.85;0.00
840.00;880.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;0.72;2;0.00;0.00;0.00;0.00;0.45;13.23;0.48;1.25;4;5;5;50.00;0.00
840.00;880.00;312.00;id_E0_2;15.00;90.88;14;104.00;5.00;27.50;4;2.52;7;62.40;3.00;2.27;0.35;0.73;8.39;3.68;2.20;2;8;9;85.73;1.00
840.00;880.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.31;12.56;1.93;5.10;4;2;8;203.16;0.00
840.00;880.00;139.00;id_-E1_1;104.00;672.57;103;68.00;40.00;20.01;3;2.76;6;46.33;34.67;16.81;2.58;2.07;5.71;15.93;4.50;1;3;7;180.00;1.00
840.00;880.00;4.00;id_-E1_2;4.00;15.00;3;4.00;4.00;5.00;1;0.46;1;4.00;4.00;0.38;0.07;0.31;10.61;6.45;0.68;1;0;1;27.00;1.00
840.00;880.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;1.68;13.47;1.45;3.38;2;3;6;133.69;0.00
840.00;880.00;35.00;id_-E2_1;35.00;170.00;34;35.00;35.00;5.00;1;1.01;2;35.00;35.00;4.25;0.85;0.80;5.10;13.39;1.57;2;1;3;63.00;1.00
840.00;880.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.51;1;0.00;0.00;0.00;0.00;0.19;14.10;0.57;0.40;0;1;1;15.79;0.00
840.00;880.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.35;4;0.00;0.00;0.00;0.00;1.05;13.10;1.18;3.12;2;3;5;125.00;0.00
840.00;880.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.26;12.20;0.33;0.78;5;2;5;31.00;0.00
840.00;880.00;294.00;id_-E3_2;152.00;1032.64;151;125.00;40.00;27.52;4;1.68;5;73.50;38.00;25.82;3.77;1.45;1.03;26.68;4.30;2;2;6;172.00;1.00
