current_time,waiting_time
1.0,0.0
31.0,0.0
61.0,0.0
91.0,23.0
131.0,217.0
171.0,548.0
211.0,932.0
251.0,771.0
291.0,893.0
331.0,1046.0
371.0,797.0
411.0,980.0
451.0,807.0
491.0,589.0
531.0,742.0
571.0,724.0
601.0,809.0
631.0,1225.0
671.0,1870.0
711.0,1726.0
751.0,937.0
791.0,1013.0
831.0,818.0
871.0,801.0
911.0,909.0
951.0,1327.0
991.0,1727.0
1031.0,889.0
1071.0,1049.0
1111.0,797.0
1151.0,748.0
1191.0,647.0
1231.0,602.0
1271.0,624.0
1311.0,1017.0
1351.0,1031.0
1391.0,1082.0
1431.0,1218.0
1471.0,448.0
1511.0,948.0
1541.0,664.0
1571.0,994.0
1611.0,1539.0
1651.0,1719.0
1691.0,2054.0
1731.0,1574.0
1761.0,1884.0
1791.0,2350.0
1831.0,2987.0
1871.0,2606.0
1911.0,837.0
1951.0,1185.0
1991.0,1104.0
2031.0,858.0
2071.0,999.0
2111.0,1364.0
2151.0,1662.0
2191.0,846.0
2231.0,959.0
2271.0,763.0
2311.0,665.0
2351.0,772.0
2391.0,1190.0
2431.0,726.0
2471.0,793.0
2511.0,892.0
2551.0,1290.0
2591.0,986.0
2631.0,1178.0
2671.0,774.0
2711.0,1251.0
2741.0,628.0
2781.0,1209.0
2821.0,1515.0
2861.0,1453.0
2901.0,1007.0
2941.0,655.0
2981.0,478.0
3021.0,879.0
3061.0,860.0
3101.0,968.0
3141.0,1145.0
3181.0,843.0
3221.0,816.0
3261.0,619.0
3291.0,416.0
3331.0,908.0
3371.0,1187.0
3411.0,1586.0
3451.0,1106.0
3491.0,819.0
3531.0,787.0
3561.0,471.0
3591.0,811.0
3631.0,1368.0
3671.0,1529.0
3711.0,951.0
3751.0,1076.0
3791.0,881.0
3831.0,919.0
3861.0,870.0
3891.0,1240.0
3931.0,1863.0
3971.0,1210.0
4011.0,912.0
4051.0,1043.0
4091.0,703.0
4131.0,986.0
4171.0,1042.0
4211.0,490.0
4251.0,699.0
4281.0,716.0
4321.0,1269.0
4361.0,1225.0
4401.0,1270.0
4441.0,1391.0
4481.0,642.0
4521.0,834.0
4561.0,853.0
4601.0,886.0
4641.0,1005.0
4681.0,1150.0
4721.0,626.0
4761.0,976.0
4801.0,832.0
4841.0,1221.0
4881.0,999.0
4921.0,1260.0
4961.0,1461.0
5001.0,614.0
5041.0,669.0
5081.0,704.0
5121.0,743.0
5161.0,990.0
5191.0,975.0
5231.0,1516.0
5271.0,973.0
5311.0,905.0
5351.0,926.0
5391.0,1283.0
5431.0,1065.0
5471.0,1244.0
5511.0,1485.0
5551.0,765.0
5591.0,767.0
5631.0,896.0
5671.0,1290.0
5711.0,1011.0
5751.0,1087.0
5791.0,675.0
5831.0,621.0
5871.0,734.0
5911.0,972.0
5951.0,1330.0
5991.0,1316.0
6031.0,1612.0
6071.0,750.0
6111.0,634.0
6151.0,715.0
6191.0,1096.0
6231.0,963.0
6261.0,978.0
6291.0,1380.0
6331.0,2050.0
6371.0,2010.0
6411.0,889.0
6451.0,892.0
6491.0,1102.0
6531.0,1437.0
6571.0,1053.0
6601.0,1423.0
6641.0,2021.0
6681.0,1814.0
6721.0,772.0
6761.0,822.0
6801.0,716.0
6841.0,749.0
6881.0,888.0
6921.0,563.0
6961.0,817.0
7001.0,908.0
7041.0,1237.0
7081.0,1051.0
7121.0,1275.0
7161.0,1433.0
7201.0,587.0
7241.0,739.0
7281.0,958.0
7321.0,1259.0
7361.0,1570.0
7401.0,1252.0
7431.0,1436.0
7461.0,1901.0
7491.0,2386.0
7531.0,3063.0
7571.0,2611.0
7611.0,1097.0
7651.0,1102.0
7691.0,898.0
7731.0,858.0
7761.0,828.0
7801.0,1380.0
7841.0,1711.0
7881.0,2079.0
7921.0,1019.0
7961.0,1387.0
8001.0,1291.0
8041.0,891.0
8071.0,1012.0
8111.0,1695.0
8151.0,1247.0
8191.0,844.0
